districtID,district,provinceID,province,islandID,island,grdp_pc_2000,grdp_pc_2001,grdp_pc_2002,grdp_pc_2003,grdp_pc_2004,grdp_pc_2005,grdp_pc_2006,grdp_pc_2007,grdp_pc_2008,grdp_pc_2009,grdp_pc_2010,grdp_pc_2011,grdp_pc_2012,grdp_pc_2013,grdp_pc_2014,grdp_pc_2015,grdp_pc_2016,grdp_pc_2017,grdp_pc_2018,grdp_pc_2019,grdp_pc_2020,grdp_pc_2021,grdp_pc_2022,grdp_pc_2023,grdp_pc_2024
3309,Boyolali,33,Jawa Tengah,3,Jawa,10486.6,11068.9,11275.2,11739.6,12056.1,12460.4,12894.7,13330.0,13775.0,14389.1,14820.6,15490.6,16255.8,17089.6,17901.4,18854.6,19745.0,20777.0,21848.0,23142.0,21134.0,21914.0,23081.0,24156.0,25054.0
3310,Klaten,33,Jawa Tengah,3,Jawa,11338.5,11766.8,12161.8,12695.8,13245.0,13783.0,14029.2,14422.5,14917.0,15475.8,15681.6,15904.6,16702.3,17616.2,18563.7,19466.8,20397.0,21409.0,22503.0,23779.0,21837.0,22524.0,23685.0,24867.0,25966.0
3311,Sukoharjo,33,Jawa Tengah,3,Jawa,14573.3,14992.1,15254.2,15709.7,16235.8,16745.3,17341.8,18060.1,18762.5,19477.5,20215.8,20939.8,21788.5,22841.0,23865.0,25007.9,26220.0,27510.0,28879.0,30509.0,29365.0,30227.0,31602.0,32876.0,34182.0
3312,Wonogiri,33,Jawa Tengah,3,Jawa,10208.4,10372.1,10651.7,10870.9,11266.0,11700.1,12123.6,12684.4,13171.1,13738.7,14498.8,14756.9,15557.6,16236.7,17032.2,17889.0,18771.0,19712.0,20726.0,21847.0,19748.0,20344.0,21422.0,22421.0,23459.0
3313,Karanganyar,33,Jawa Tengah,3,Jawa,13009.3,13514.0,14112.8,14754.2,15475.7,16160.1,16809.9,17597.8,18345.7,19171.1,20027.5,20908.0,21901.9,22919.6,23884.7,24859.9,25967.0,27228.0,28610.0,30142.0,28073.0,28738.0,30192.0,31628.0,33146.0
3314,Sragen,33,Jawa Tengah,3,Jawa,11948.1,12238.2,12592.3,12983.3,13556.4,14187.8,14851.8,15628.3,16441.8,17350.4,18340.7,19438.0,20623.4,21907.3,23036.4,24334.9,25650.0,27089.0,28558.0,30301.0,27047.0,27847.0,29222.0,30519.0,31932.0
3315,Grobogan,33,Jawa Tengah,3,Jawa,6614.0,6851.5,7199.0,7309.8,7537.2,7843.7,8106.0,8407.9,8801.3,9187.1,9600.5,9880.1,10422.5,10832.8,11209.2,11811.9,12281.0,12935.0,13625.0,14359.0,13356.0,13735.0,14414.0,14992.0,15661.0
3316,Blora,33,Jawa Tengah,3,Jawa,8803.9,8941.9,9086.4,9351.9,9656.0,10020.1,10380.9,10787.3,11355.2,11858.6,12404.7,12669.5,13231.5,13872.6,14412.1,15117.8,18601.0,19638.0,20421.0,21277.0,19781.0,20406.0,20792.0,21283.0,21780.0
3317,Rembang,33,Jawa Tengah,3,Jawa,10378.7,10746.3,11005.5,11232.9,11633.9,11939.3,12487.2,12846.9,13328.7,13800.2,14299.9,14788.8,15370.1,16063.6,16747.4,17523.4,18303.0,19430.0,20423.0,21427.0,20802.0,21444.0,22445.0,23424.0,24425.0
3318,Pati,33,Jawa Tengah,3,Jawa,11783.7,12127.9,12393.3,12046.1,12471.1,12873.3,13355.5,13954.5,14546.8,15129.1,15812.1,16552.7,17414.0,18333.6,19064.1,20090.2,21073.0,22149.0,23290.0,24642.0,23090.0,23633.0,24721.0,25736.0,26831.0
